,city,snow_depth,snowfall_by_month,snowfall_day_of,snowfall_since_july,year
0,Syracuse,7.00,32.4,0.6,37.6,2017
1,Syracuse,0.00,30.4,1.5,55.8,2016
2,Syracuse,2.00,2.1,0.8,2.9,2015
3,Syracuse,0.00,17.1,0.5,28.1,2014
4,Syracuse,2.00,27.0,0.0,41.3,2013
5,Rochester,5.00,25.6,0.1,28.2,2017
6,Rochester,1.00,27.8,1.1,43.7,2016
7,Rochester,2.00,2.2,0.2,3.4,2015
8,Rochester,.01,12.1,0.1,21.2,2014
9,Rochester,0.00,21.5,0.0,35.0,2013
10,Buffalo,5.00,30.3,1.1,30.5,2017
11,Buffalo,2.00,29.7,2.8,30.6,2016
12,Buffalo,1.00,1.0,0.01,1.0,2015
13,Buffalo,0.00,9.9,0.01,30.4,2014
14,Buffalo,.01,26.0,0.01,36.0,2013
15,Albany,3.0,11.6,0.0,11.6,2017
16,Albany,0.00,11.9,2.1,14.2,2016
17,Albany,2.00,2.2,1.3,2.2,2015
18,Albany,0.00,12.2,0.0,24.5,2014
19,Albany,0.00,19.5,0.7,21.6,2013
20,Binghamton,2.00,9.4,0.1,11.2,2017
21,Binghamton,.01,28.4,2.5,57.0,2016
22,Binghamton,1.00,2.0,0.6,3.1,2015
23,Binghamton,0.00,11.6,0.01,25.3,2014
24,Binghamton,2.00,23.9,1.6,32.1,2013
